Designator,Mid X,Mid Y,Rotation,Layer
C1,16.9,-36.5,180.0,top
C10,34.7,-19.4625,270.0,top
C2,20.9375,-36.5,0.0,top
C3,16.6625,-25.1,180.0,top
C4,16.9375,-26.9,180.0,top
C5,34.7,-7.6375,270.0,top
C6,32.225,-12.5,0.0,top
C7,24.9625,-12.5,180.0,top
C8,28.5625,-12.5,180.0,top
C9,34.7,-15.3375,270.0,top
J1,13.1875,-26.89,180.0,top
J2,14.74,-9.65,270.0,top
J3,26.6,-35.2,0.0,bottom
J4,26.6,-27.4,0.0,bottom
U1,28.6,-17.4,270.0,top
U2,28.6,-7.6,270.0,top
U3,19.45,-31.6,0.0,top
